City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,70.6333,147.9167,9.16,87,100,7.34,RU,1681425354
1,Ushuaia,-54.8,-68.3,42.46,75,0,2.3,AR,1681425354
2,Iqaluit,63.7506,-68.5145,19.13,85,100,2.3,CA,1681425354
3,Byron Bay,-28.65,153.6167,68.7,65,33,12.57,AU,1681425111
4,Busselton,-33.65,115.3333,52.77,69,69,15.82,AU,1681425354
5,Mataura,-46.1927,168.8643,58.77,70,8,8.68,NZ,1681425355
6,Fairbanks,64.8378,-147.7164,20.08,62,40,5.75,US,1681425185
7,New Iberia,30.0035,-91.8187,73.47,40,0,12.66,US,1681425220
8,Jamestown,42.097,-79.2353,76.64,33,0,11.5,US,1681425112
9,Isangel,-19.55,169.2667,83.91,75,100,10.87,VU,1681425355
10,Bathsheba,13.2167,-59.5167,81.21,69,20,13.8,BB,1681425355
11,Carnarvon,-24.8667,113.6333,67.77,68,89,28.63,AU,1681425355
12,Bluff,-46.6,168.3333,57.51,74,4,15.84,NZ,1681425355
13,College,64.8569,-147.8028,20.08,63,75,5.75,US,1681425355
14,Faya,18.3851,42.4509,62.71,66,0,2.64,SA,1681425355
15,Hithadhoo,-0.6,73.0833,82.83,70,61,7.2,MV,1681425355
16,Buenos Aires,-34.6132,-58.3772,62.33,44,0,4.61,AR,1681425233
17,New Castle,41.0037,-80.347,83.48,22,0,6.91,US,1681425356
18,San Andrés del Rabanedo,42.6117,-5.6167,45.5,87,75,16.11,ES,1681425356
19,Khatanga,71.9667,102.5,16.99,75,99,23.58,RU,1681425356
20,Kahului,20.8947,-156.47,84.22,61,40,20.71,US,1681425356
21,New Norfolk,-42.7826,147.0587,55.92,70,40,2.48,AU,1681425356
22,Hong Kong,22.2855,114.1577,74.32,88,92,5.99,HK,1681425250
23,Rikitea,-23.1203,-134.9692,72.86,91,100,14.67,PF,1681425356
24,Barrow,71.2906,-156.7887,-3.98,77,0,10.36,US,1681425356
25,Saskylakh,71.9167,114.0833,-5.51,95,51,8.25,RU,1681425356
26,Ilulissat,69.2167,-51.1,24.82,93,100,0.0,GL,1681425356
27,Cape Town,-33.9258,18.4232,65.37,69,40,10.36,ZA,1681425356
28,Cherskiy,68.75,161.3,2.14,87,42,5.17,RU,1681425356
29,Bolton,53.5833,-2.4333,43.92,85,9,4.88,GB,1681425356
30,Banda Aceh,5.5577,95.3222,79.74,82,94,4.94,ID,1681425356
31,Vaini,-21.2,-175.2,86.16,70,20,12.66,TO,1681425356
32,Dingle,10.9995,122.6711,78.35,82,97,1.7,PH,1681425357
33,Adrar,20.5022,-10.0711,81.84,32,85,5.28,MR,1681425357
34,Grindavik,63.8424,-22.4338,42.75,93,100,6.91,IS,1681425357
35,Punta Arenas,-53.15,-70.9167,41.11,70,0,4.61,CL,1681425357
36,Tasiilaq,65.6145,-37.6368,33.96,92,88,4.12,GL,1681425357
37,Port Blair,11.6667,92.75,79.72,77,13,4.76,IN,1681425357
38,Tres Arroyos,-38.3739,-60.2798,47.8,62,94,6.4,AR,1681425102
39,Taoudenni,22.6783,-3.9836,84.79,8,61,6.31,ML,1681425357
